fname,itp,tp_prob,its,ts_prob
SC.PWU_20180725201055.mseed_0,[],[],[],[]
SC.YZP_20180902094449.mseed_0,[],[],[],[]
SC.YZP_20180719133603.mseed_3000,[16],[0.780533],[1197],[0.50767]
SC.YZP_20180719133603.mseed_6000,[],[],[],[]
SC.AXI_20180617175906.mseed_15000,[],[],[],[]
SC.PWU_20180725201055.mseed_3000,[20],[0.87979],[638],[0.76645]
SC.YZP_20180719133603.mseed_9000,[],[],[],[]
SC.YZP_20180902094449.mseed_3000,[4],[0.655224],[326],[0.791348]
SC.YZP_20181120060111.mseed_3000,[20],[0.702401],[],[]
SC.YZP_20180630154155.mseed_3000,[10],[0.868555],[684],[0.760898]
SC.YZP_20180719133603.mseed_12000,[1513],[0.89893],[2685],[0.412046]
SC.YZP_20180719133603.mseed_15000,[],[],[],[]
SC.YZP_20181120060111.mseed_6000,[],[],[1963],[0.365276]
SC.YZP_20181120060111.mseed_9000,[],[],[],[]
SC.MDS_20180610061154.mseed_6000,[],[],[231],[0.337016]
SC.YZP_20180902094449.mseed_6000,[],[],[],[]
SC.YZP_20181120060111.mseed_12000,[1527],[0.88495],[],[]
SC.YZP_20180630154155.mseed_6000,[],[],[],[]
SC.PWU_20180725201055.mseed_6000,[],[],[],[]
SC.JMG_20180330133903.mseed_12000,[1507],[0.95038],[2210],[0.901231]
SC.PWU_20180221071825.mseed_0,[],[],[],[]
SC.WCH_20180424181649.mseed_0,[],[],[],[]
SC.MDS_20180610061154.mseed_9000,[],[],[],[]
SC.JMG_20180330133903.mseed_15000,[],[],[50],[0.599762]
SC.MDS_20180610061154.mseed_12000,[1508],[0.770055],[],[]
SC.PWU_20180221071825.mseed_3000,[15],[0.848491],[335],[0.526551]
SC.YZP_20180902094449.mseed_9000,[],[],[],[]
SC.YZP_20180902094449.mseed_12000,[1500],[0.979813],[1829],[0.840856]
SC.YZP_20180630154155.mseed_9000,[],[],[],[]
SC.YZP_20181120060111.mseed_15000,[],[],[],[]
SC.PWU_20180221071825.mseed_6000,[],[],[],[]
SC.YZP_20180902094449.mseed_15000,[],[],[],[]
SC.MDS_20180610061154.mseed_15000,[],[],[201],[0.624411]
SC.PWU_20180221071825.mseed_9000,[],[],[],[]
SC.WCH_20180424181649.mseed_3000,[6 2809],[0.47068 0.333196],[812],[0.715655]
SC.YZP_20180630154155.mseed_12000,[1511],[0.897079],[2183],[0.80923]
SC.PWU_20180725201055.mseed_9000,[],[],[],[]
SC.PWU_20180221071825.mseed_12000,[1515],[0.970858],[1831],[0.598603]
SC.GZA_20180627082009.mseed_0,[],[],[],[]
SC.GZA_20180723064349.mseed_0,[],[],[],[]
SC.YZP_20180528144537.mseed_0,[],[],[],[]
SC.JMG_20180320122831.mseed_0,[],[],[],[]
SC.PWU_20180221071825.mseed_15000,[],[],[],[]
SC.GZA_20180627082009.mseed_3000,[9],[0.951057],[411],[0.960692]
SC.GZA_20180723064349.mseed_3000,[2807],[0.402911],[73],[0.492728]
SC.YZP_20180528144537.mseed_3000,[11],[0.885192],[551],[0.806633]
SC.GZA_20180723064349.mseed_6000,[],[],[],[]
SC.GZA_20180627082009.mseed_6000,[],[],[],[]
SC.GZA_20180723064349.mseed_9000,[],[],[],[]
SC.JMG_20180320122831.mseed_3000,[32],[0.594905],[1236],[0.626242]
SC.WCH_20180424181649.mseed_6000,[],[],[],[]
SC.PWU_20180725201055.mseed_12000,[1506],[0.950267],[2137],[0.73441]
SC.YZP_20180630154155.mseed_15000,[],[],[],[]
SC.GZA_20180627082009.mseed_9000,[],[],[],[]
SC.WCH_20180424181649.mseed_9000,[],[],[],[]
SC.JMG_20180320122831.mseed_6000,[],[],[],[]
SC.YZP_20180528144537.mseed_6000,[],[],[],[]
SC.GZA_20180723064349.mseed_12000,[1479],[0.727598],[],[]
SC.PWU_20180725201055.mseed_15000,[],[],[],[]
SC.GZA_20180627082009.mseed_12000,[1507],[0.977689],[1910],[0.963479]
SC.PWU_20180814235454.mseed_0,[],[],[],[]
SC.ZJG_20181029121442.mseed_0,[],[],[],[]
SC.ZJG_20181029121442.mseed_3000,[2357],[0.5698],[573],[0.584912]
SC.PWU_20180814235454.mseed_3000,[4],[0.536743],[506],[0.906716]
SC.ZJG_20181029121442.mseed_6000,[],[],[],[]
SC.GZA_20180627082009.mseed_15000,[],[],[39],[0.303407]
SC.YZP_20180528144537.mseed_9000,[],[],[],[]
SC.WCH_20180424181649.mseed_12000,[1506],[0.870437],[2310],[0.685819]
SC.PWU_20180814235454.mseed_6000,[],[],[],[]
SC.GZA_20180723064349.mseed_15000,[],[],[1311],[0.406307]
SC.WCH_20180424181649.mseed_15000,[],[],[],[]
SC.YZP_20180528144537.mseed_12000,[1500],[0.777015],[2052],[0.805392]
SC.PWU_20180814235454.mseed_9000,[],[],[],[]
SC.PWU_20180814235454.mseed_12000,[1504],[0.982218],[2006],[0.909132]
SC.JMG_20180320122831.mseed_9000,[],[],[],[]
SC.PWU_20180814235454.mseed_15000,[],[],[],[]
SC.YZP_20180528144537.mseed_15000,[],[],[],[]
SC.ZJG_20181029121442.mseed_9000,[],[],[],[]
SC.PWU_20180920234702.mseed_0,[],[],[],[]
SC.PWU_20181113095948.mseed_0,[],[],[],[]
SC.JZG_20180726103302.mseed_0,[],[],[],[]
SC.JMG_20181122072723.mseed_0,[],[],[],[]
SC.JZG_20180726103302.mseed_3000,[9],[0.985366],[474],[0.710436]
SC.JMG_20180320122831.mseed_12000,[1507],[0.636797],[2736],[0.620082]
SC.JMG_20181122072723.mseed_3000,[29],[0.484189],[],[]
SC.PWU_20180920234702.mseed_3000,[4],[0.928797],[76],[0.670721]
SC.PWU_20180920234702.mseed_6000,[],[],[],[]
SC.JMG_20180320122831.mseed_15000,[],[],[140],[0.681953]
SC.PWU_20181113095948.mseed_3000,[8],[0.750236],[559],[0.902084]
SC.PWU_20181113095948.mseed_6000,[],[],[],[]
SC.PWU_20180920234702.mseed_9000,[],[],[],[]
SC.PWU_20181113095948.mseed_9000,[],[],[],[]
SC.ZJG_20181029121442.mseed_12000,[1491],[0.423373],[2073],[0.519159]
SC.PWU_20180920234702.mseed_12000,[1505],[0.982168],[1586],[0.687941]
SC.PWU_20181113095948.mseed_12000,[1507],[0.977493],[2059],[0.930343]
SC.ZJG_20181029121442.mseed_15000,[856],[0.677193],[],[]
SC.JZG_20180726103302.mseed_6000,[],[],[],[]
SC.JMG_20181122072723.mseed_6000,[],[],[],[]
SC.PWU_20180920234702.mseed_15000,[],[],[],[]
SC.GZA_20180515232818.mseed_0,[],[],[],[]
SC.MDS_20180607044731.mseed_0,[],[],[],[]
SC.AXI_20180328132916.mseed_0,[],[],[],[]
SC.AXI_20180328132916.mseed_3000,[10],[0.955913],[565],[0.757992]
SC.AXI_20180328132916.mseed_6000,[],[],[],[]
SC.JMG_20181122072723.mseed_9000,[],[],[],[]
SC.PWU_20181113095948.mseed_15000,[],[],[],[]
SC.JMG_20181122072723.mseed_12000,[1535],[0.85263],[],[]
SC.AXI_20180328132916.mseed_9000,[],[],[],[]
SC.MDS_20180607044731.mseed_3000,[9],[0.832224],[431],[0.338331]
SC.JZG_20180726103302.mseed_9000,[],[],[],[]
SC.GZA_20180515232818.mseed_3000,[],[],[768],[0.793815]
SC.JZG_20180726103302.mseed_12000,[1508],[0.984158],[1974],[0.758977]
SC.AXI_20180328132916.mseed_12000,[1506],[0.899091],[2065],[0.74595]
SC.JMG_20181122072723.mseed_15000,[],[],[572],[0.586153]
SC.GZA_20180515232818.mseed_6000,[2797],[0.538751],[],[]
SC.MDS_20180607044731.mseed_6000,[],[],[],[]
SC.JZG_20180726103302.mseed_15000,[],[],[],[]
SC.AXI_20180328132916.mseed_15000,[],[],[],[]
SC.TQU_20180405154641.mseed_0,[],[],[],[]
SC.TQU_20180613014725.mseed_0,[],[],[],[]
SC.WCH_20180523024206.mseed_0,[],[],[],[]
SC.GZA_20180927180336.mseed_0,[],[],[],[]
SC.WCH_20180523024206.mseed_3000,[9],[0.357965],[407],[0.8377]
SC.MDS_20180607044731.mseed_9000,[],[],[],[]
SC.GZA_20180927180336.mseed_3000,[],[],[],[]
SC.GZA_20180927180336.mseed_6000,[],[],[73],[0.326559]
SC.GZA_20180515232818.mseed_9000,[],[],[],[]
SC.TQU_20180405154641.mseed_3000,[],[],[49 2568],[0.519353 0.451216]
SC.TQU_20180613014725.mseed_3000,[9],[0.795925],[1336],[0.793881]
SC.MDS_20180607044731.mseed_12000,[1508],[0.967939],[1934],[0.684361]
SC.TQU_20180405154641.mseed_6000,[],[],[],[]
SC.WCH_20180523024206.mseed_6000,[],[],[],[]
SC.GZA_20180927180336.mseed_9000,[],[],[],[]
SC.MDS_20180607044731.mseed_15000,[],[],[],[]
SC.TQU_20180405154641.mseed_9000,[],[],[],[]
SC.GZA_20180515232818.mseed_12000,[1507],[0.942445],[2265],[0.820038]
SC.TQU_20180613014725.mseed_6000,[],[],[],[]
SC.GZA_20180927180336.mseed_12000,[1505],[0.795372],[],[]
SC.WCH_20180523024206.mseed_9000,[],[],[2805],[0.337936]
SC.JMG_20180609160133.mseed_0,[],[],[],[]
SC.WCH_20181029032135.mseed_0,[],[],[],[]
SC.JMG_20180606230140.mseed_0,[2952],[0.506359],[],[]
SC.TQU_20180405154641.mseed_12000,[1485],[0.456087],[],[]
